ID,Type,Price,Bedrooms,Bathrooms,Size_m2,Location,Lifestyle,Amenities,NearbyPOI,Description
1,For Sale,2500000,3,2,200,"Durban North, Durban","Family-Friendly,Suburban,Secure Estate","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Beach","Modern 3-bedroom home in Durban North with a pool."
2,For Sale,1800000,2,1,150,"Sea Point, Cape Town","Urban,Professional,Luxury","Gym,Rooftop Pool,24h Concierge","Beach,Restaurants,MyCiTi Bus","Luxurious 2-bed apartment in Sea Point with stunning views."
3,For Sale,3500000,4,3,300,"Sandhurst, Sandton","Luxury,Secure Estate,Family-Friendly","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Sandton CBD","Spacious 4-bedroom home in exclusive Sandhurst estate."
4,For Rent,12000,1,1,50,"Braamfontein, Johannesburg","Student,Young Professional,Convenient","Gym,Laundry Facilities,24h Security","Universities,Restaurants,Parks","Cozy 1-bed apartment in the heart of Braamfontein."
5,For Sale,4200000,4,3,320,"Constantia, Cape Town","Nature,Secure Estate,Golf Lifestyle","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Golf Course","Elegant 4-bedroom home in prestigious Constantia estate."
6,For Sale,1500000,3,2,180,"Umhlanga Rocks, Durban","Coastal,Luxury,Family-Friendly","Pool,Garden,Double Garage,24h Security","Beach,Restaurants,Shopping Centre","Beautiful 3-bedroom home in Umhlanga Rocks with sea views."
7,For Rent,8000,0,1,40,"Stellenbosch Central, Stellenbosch","Student,Investor,Affordable","Braai Area,Secure Parking,24h Security","Universities,Shops,Restaurants","Studio apartment in the heart of Stellenbosch."
8,For Sale,2800000,3,2,220,"Hout Bay, Cape Town","Coastal,Nature,Family-Friendly","Pool,Garden,Double Garage,Mountain Views","Beach,Shops,Restaurants","Charming 3-bedroom home in scenic Hout Bay."
9,For Sale,5000000,4,3,350,"Morningside, Sandton","Luxury,Secure Estate,Family-Friendly","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Sandton CBD","Stunning 4-bedroom home in sought-after Morningside estate."
10,For Rent,15000,2,1,80,"Gardens, Cape Town","Urban,Professional,Luxury","Gym,Swimming Pool,24h Security","Shops,Restaurants,Parks","Modern 2-bed apartment in trendy Gardens neighborhood."
11,For Sale,3800000,3,2,250,"Clifton, Cape Town","Coastal,Luxury,Views","Pool,Garden,Double Garage,24h Security","Beach,Restaurants,Shops","Luxurious 3-bedroom home in exclusive Clifton with ocean views."
12,For Sale,2000000,3,2,180,"Bryanston, Sandton","Family-Friendly,Suburban,Secure Estate","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Sandton CBD","Spacious 3-bedroom home in Bryanston with a garden."
13,For Rent,10000,1,1,60,"Observatory, Cape Town","Student,Young Professional,Affordable","Secure Parking,Balcony,24h Security","Universities,Shops,Restaurants","Cosy 1-bed apartment in vibrant Observatory."
14,For Sale,4500000,4,3,300,"Umhlanga, Durban","Coastal,Luxury,Secure Estate","Pool,Garden,Double Garage,24h Security","Beach,Shopping Centre,Restaurants","Modern 4-bedroom home in exclusive Umhlanga estate."
15,For Sale,3200000,3,2,220,"Bryanston, Sandton","Family-Friendly,Suburban,Secure Estate","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Sandton CBD","Beautiful 3-bedroom home in Bryanston with a pool."
16,For Rent,18000,2,1,90,"Green Point, Cape Town","Urban,Professional,Luxury","Gym,Swimming Pool,24h Security","Shops,Restaurants,Beach","Stylish 2-bed apartment in Green Point with sea views."
17,For Sale,2800000,3,2,200,"Camps Bay, Cape Town","Coastal,Luxury,Views","Pool,Garden,Double Garage,24h Security","Beach,Restaurants,Shops","Elegant 3-bedroom home in prestigious Camps Bay with mountain views."
18,For Sale,4000000,4,3,320,"Ballito, Durban","Coastal,Family-Friendly,Secure Estate","Pool,Garden,Double Garage,24h Security","Beach,Shopping Centre,Restaurants","Spacious 4-bedroom home in Ballito with sea views."
19,For Rent,12000,1,1,55,"Rosebank, Johannesburg","Young Professional,Convenient,Urban","Gym,24h Security,Secure Parking","Shopping Centre,Restaurants,Parks","Modern 1-bed apartment in vibrant Rosebank."
20,For Sale,3500000,3,2,250,"Fourways, Sandton","Family-Friendly,Suburban,Secure Estate","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Sandton CBD","Charming 3-bedroom home in Fourways with a garden."
21,For Sale,2800000,3,2,200,"Hermanus, Cape Town","Coastal,Nature,Family-Friendly","Pool,Garden,Double Garage,Mountain Views","Beach,Shops,Restaurants","Stunning 3-bedroom home in scenic Hermanus."
22,For Sale,5000000,4,3,350,"Bryanston, Sandton","Luxury,Secure Estate,Family-Friendly","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Sandton CBD","Immaculate 4-bedroom home in exclusive Bryanston estate."
23,For Rent,15000,2,1,80,"Sea Point, Cape Town","Urban,Professional,Luxury","Gym,Swimming Pool,24h Security","Shops,Restaurants,Beach","Modern 2-bed apartment in Sea Point with ocean views."
24,For Sale,3800000,3,2,250,"Umhlanga Rocks, Durban","Coastal,Luxury,Family-Friendly","Pool,Garden,Double Garage,24h Security","Beach,Restaurants,Shopping Centre","Elegant 3-bedroom home in Umhlanga Rocks with sea views."
25,For Sale,2000000,3,2,180,"Durban North, Durban","Family-Friendly,Suburban,Secure Estate","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Beach","Charming 3-bedroom home in Durban North with a pool."
26,For Rent,10000,1,1,60,"Stellenbosch Central, Stellenbosch","Student,Investor,Affordable","Braai Area,Secure Parking,24h Security","Universities,Shops,Restaurants","Cosy 1-bed apartment in the heart of Stellenbosch."
27,For Sale,4500000,4,3,300,"Constantia, Cape Town","Nature,Secure Estate,Golf Lifestyle","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Golf Course","Modern 4-bedroom home in prestigious Constantia estate."
28,For Sale,3200000,3,2,220,"Sandhurst, Sandton","Luxury,Secure Estate,Family-Friendly","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Sandton CBD","Stunning 3-bedroom home in sought-after Sandhurst estate."
29,For Rent,18000,2,1,90,"Gardens, Cape Town","Urban,Professional,Luxury","Gym,Swimming Pool,24h Security","Shops,Restaurants,Parks","Stylish 2-bed apartment in trendy Gardens neighborhood."
30,For Sale,2800000,3,2,200,"Hout Bay, Cape Town","Coastal,Nature,Family-Friendly","Pool,Garden,Double Garage,Mountain Views","Beach,Shops,Restaurants","Beautiful 3-bedroom home in scenic Hout Bay."
31,For Sale,5000000,4,3,350,"Morningside, Sandton","Luxury,Secure Estate,Family-Friendly","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Sandton CBD","Spacious 4-bedroom home in exclusive Morningside estate."
32,For Rent,15000,2,1,80,"Green Point, Cape Town","Urban,Professional,Luxury","Gym,Swimming Pool,24h Security","Shops,Restaurants,Beach","Modern 2-bed apartment in Green Point with sea views."
33,For Sale,3800000,3,2,250,"Clifton, Cape Town","Coastal,Luxury,Views","Pool,Garden,Double Garage,24h Security","Beach,Restaurants,Shops","Luxurious 3-bedroom home in exclusive Clifton with ocean views."
34,For Sale,2000000,3,2,180,"Bryanston, Sandton","Family-Friendly,Suburban,Secure Estate","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Sandton CBD","Spacious 3-bedroom home in Bryanston with a garden."
35,For Rent,10000,1,1,60,"Observatory, Cape Town","Student,Young Professional,Affordable","Secure Parking,Balcony,24h Security","Universities,Shops,Restaurants","Cosy 1-bed apartment in vibrant Observatory."
36,For Sale,4500000,4,3,300,"Umhlanga, Durban","Coastal,Luxury,Secure Estate","Pool,Garden,Double Garage,24h Security","Beach,Shopping Centre,Restaurants","Modern 4-bedroom home in exclusive Umhlanga estate."
37,For Sale,3200000,3,2,220,"Bryanston, Sandton","Family-Friendly,Suburban,Secure Estate","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Sandton CBD","Beautiful 3-bedroom home in Bryanston with a pool."
38,For Rent,18000,2,1,90,"Green Point, Cape Town","Urban,Professional,Luxury","Gym,Swimming Pool,24h Security","Shops,Restaurants,Beach","Stylish 2-bed apartment in Green Point with sea views."
39,For Sale,2800000,3,2,200,"Camps Bay, Cape Town","Coastal,Luxury,Views","Pool,Garden,Double Garage,24h Security","Beach,Restaurants,Shops","Elegant 3-bedroom home in prestigious Camps Bay with mountain views."
40,For Sale,4000000,4,3,320,"Ballito, Durban","Coastal,Family-Friendly,Secure Estate","Pool,Garden,Double Garage,24h Security","Beach,Shopping Centre,Restaurants","Spacious 4-bedroom home in Ballito with sea views."
41,For Rent,12000,1,1,55,"Rosebank, Johannesburg","Young Professional,Convenient,Urban","Gym,24h Security,Secure Parking","Shopping Centre,Restaurants,Parks","Modern 1-bed apartment in vibrant Rosebank."
42,For Sale,3500000,3,2,250,"Fourways, Sandton","Family-Friendly,Suburban,Secure Estate","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Sandton CBD","Charming 3-bedroom home in Fourways with a garden."
43,For Sale,2800000,3,2,200,"Hermanus, Cape Town","Coastal,Nature,Family-Friendly","Pool,Garden,Double Garage,Mountain Views","Beach,Shops,Restaurants","Stunning 3-bedroom home in scenic Hermanus."
44,For Sale,5000000,4,3,350,"Bryanston, Sandton","Luxury,Secure Estate,Family-Friendly","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Sandton CBD","Immaculate 4-bedroom home in exclusive Bryanston estate."
45,For Rent,15000,2,1,80,"Sea Point, Cape Town","Urban,Professional,Luxury","Gym,Swimming Pool,24h Security","Shops,Restaurants,Beach","Modern 2-bed apartment in Sea Point with ocean views."
46,For Sale,3800000,3,2,250,"Umhlanga Rocks, Durban","Coastal,Luxury,Family-Friendly","Pool,Garden,Double Garage,24h Security","Beach,Restaurants,Shopping Centre","Elegant 3-bedroom home in Umhlanga Rocks with sea views."
47,For Sale,2000000,3,2,180,"Durban North, Durban","Family-Friendly,Suburban,Secure Estate","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Beach","Charming 3-bedroom home in Durban North with a pool."
48,For Rent,10000,1,1,60,"Stellenbosch Central, Stellenbosch","Student,Investor,Affordable","Braai Area,Secure Parking,24h Security","Universities,Shops,Restaurants","Cosy 1-bed apartment in the heart of Stellenbosch."
49,For Sale,4500000,4,3,300,"Constantia, Cape Town","Nature,Secure Estate,Golf Lifestyle","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Golf Course","Modern 4-bedroom home in prestigious Constantia estate."
50,For Sale,3200000,3,2,220,"Sandhurst, Sandton","Luxury,Secure Estate,Family-Friendly","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Sandton CBD","Stunning 3-bedroom home in sought-after Sandhurst estate."
51,For Rent,18000,2,1,90,"Gardens, Cape Town","Urban,Professional,Luxury","Gym,Swimming Pool,24h Security","Shops,Restaurants,Parks","Stylish 2-bed apartment in trendy Gardens neighborhood."
52,For Sale,2800000,3,2,200,"Hout Bay, Cape Town","Coastal,Nature,Family-Friendly","Pool,Garden,Double Garage,Mountain Views","Beach,Shops,Restaurants","Beautiful 3-bedroom home in scenic Hout Bay."
53,For Sale,5000000,4,3,350,"Morningside, Sandton","Luxury,Secure Estate,Family-Friendly","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Sandton CBD","Spacious 4-bedroom home in exclusive Morningside estate."
54,For Rent,15000,2,1,80,"Green Point, Cape Town","Urban,Professional,Luxury","Gym,Swimming Pool,24h Security","Shops,Restaurants,Beach","Modern 2-bed apartment in Green Point with sea views."
55,For Sale,3800000,3,2,250,"Clifton, Cape Town","Coastal,Luxury,Views","Pool,Garden,Double Garage,24h Security","Beach,Restaurants,Shops","Luxurious 3-bedroom home in exclusive Clifton with ocean views."
56,For Sale,2000000,3,2,180,"Bryanston, Sandton","Family-Friendly,Suburban,Secure Estate","Pool,Garden,Double Garage,24h Security","Schools,Shopping Centre,Sandton CBD","Spacious 3-bedroom home in Bryanston with a garden."
57,For Rent,10000,1,1,60,"Observatory, Cape Town","Student,Young Professional,Affordable","Secure Parking,Balcony,24h Security","Universities,Shops,Restaurants","Cosy 1-bed apartment in vibrant Observatory."
58,For Sale,4500000,4,3,300,"Umhlanga, Durban","Coastal,Luxury,Secure Estate","Pool,Garden,Double Garage,24h Security","Beach,Shopping Centre,Restaurants","Modern 4-bedroom home in exclusive Umhlanga estate."
